,loan product,status,amount,credit score,rent,monthly income,other income,debts,has debts,pays rent,has credit,dti
1137,3,1,24760.0,700,486.0,3466.667,0.0,401.0,1,1,1,11.57
1138,1,1,500.0,600,725.0,6666.667,0.0,0.0,0,1,1,0.0
1139,3,1,17000.0,800,1900.0,8815.0,0.0,258.0,1,1,1,2.93
1140,3,1,20000.0,600,0.0,6218.333,0.0,1797.0,1,0,1,28.9
1141,2,1,500.0,0,1616.0,1965.0,0.0,0.0,0,1,0,0.0
1143,3,1,35000.0,700,1392.0,5200.0,700.0,1029.63,1,1,1,17.45
1144,3,1,5000.0,700,500.0,3033.333,0.0,91.0,1,1,1,3.0
1145,3,1,36000.0,700,0.0,4351.0,0.0,39.0,1,0,1,0.9
1146,3,1,5500.0,700,0.0,0.0,0.0,1036.0,1,0,1,100.0
1147,4,1,7000.0,700,0.0,3500.0,3500.0,215.0,1,0,1,3.07
1148,2,1,900.0,0,450.0,3750.0,0.0,0.0,0,1,0,0.0
1149,3,1,1000.0,0,200.0,1733.333,0.0,0.0,0,1,0,0.0
1150,3,1,35000.0,700,0.0,8000.0,0.0,3384.0,1,0,1,42.3
1151,2,1,250.0,600,650.0,2773.333,0.0,83.0,1,1,1,2.99
1152,4,1,10000.0,700,800.0,4550.0,0.0,99.0,1,1,1,2.18
1153,1,1,3000.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0
1154,3,1,2800.0,700,800.0,2684.64,0.0,99.0,1,1,1,3.69
1155,3,1,35000.0,700,0.0,5067.0,0.0,1518.0,1,0,1,29.96
1156,3,1,5000.0,700,0.0,4000.0,0.0,0.0,0,0,1,0.0
1157,1,1,500.0,600,1100.0,821.0,821.0,0.0,0,1,1,0.0
1158,3,1,10000.0,700,400.0,7500.0,0.0,443.0,1,1,1,5.91
1159,3,1,2500.0,700,553.0,3250.0,0.0,48.0,1,1,1,1.48
1160,3,1,5500.0,700,0.0,6333.167,0.0,336.0,1,0,1,5.31
